trial,ID,Weight,Procedure,Nested,cat1,pic1,cat2,pic2,big_cans,cat_cans,question_french,question_english,cans,condition,duration_question,duration_fixation,left,right,type
65,1,1,TrialBloc3,,21,Images/coatofmail.jpg,1,Images/cup01.jpg,1,2,Catégorie?,Category?,2,8,5700,4200,Left_cr1.jpg,right_cr.jpg,block3
66,2,1,TrialBloc3,,5,Images/measuringtape01.jpg,18,Images/bison.JPG,2,2,Plus gros?,Bigger?,2,6,4100,7200,Left_cr1.jpg,right_cr.jpg,block3
67,3,1,TrialBloc3,,6,Images/paperclip01b.jpg,6,Images/scotchtape.jpg,2,1,Catégorie?,Category?,1,4,7000,7600,Left_cr1.jpg,right_cr.jpg,block3
68,4,1,TrialBloc3,,4,Images/granolabar.jpg,4,Images/oats.jpg,1,1,Plus gros?,Bigger?,1,2,6800,7500,Left_cr1.jpg,right_cr.jpg,block3
69,5,1,TrialBloc3,,18,Images/chameleon.jpg,1,Images/whisk.jpg,1,2,Catégorie?,Category?,2,8,7200,5500,Left_cr1.jpg,right_cr.jpg,block3
70,6,1,TrialBloc3,,1,Images/jar02.jpg,1,Images/jug.jpg,2,1,Plus gros?,Bigger?,2,2,3100,5500,Left_cr1.jpg,right_cr.jpg,block3
71,7,1,TrialBloc3,,8,Images/tshirt.jpg,4,Images/maki.jpg,1,2,Plus gros?,Bigger?,1,6,5500,3000,Left_cr1.jpg,right_cr.jpg,block3
72,8,1,TrialBloc3,,5,Images/nail.jpg,5,Images/hammer01.jpg,2,1,Catégorie?,Category?,1,4,6100,6200,Left_cr1.jpg,right_cr.jpg,block3
73,9,1,TrialBloc3,,4,Images/rasberry01.jpg,4,Images/lemon02.jpg,2,1,Catégorie?,Category?,1,4,4200,6900,Left_cr1.jpg,right_cr.jpg,block3
74,10,1,TrialBloc3,,4,Images/croissant.jpg,5,Images/boltandnut02.jpg,1,2,Plus gros?,Bigger?,1,6,7100,3300,Left_cr1.jpg,right_cr.jpg,block3
75,11,1,TrialBloc3,,18,Images/sheep.jpg,4,Images/banana.jpg,1,2,Catégorie?,Category?,2,8,4600,6100,Left_cr1.jpg,right_cr.jpg,block3
76,12,1,TrialBloc3,,21,Images/kalashnikov.jpg,7,Images/dentalfloss03b.jpg,1,2,Plus gros?,Bigger?,1,6,7200,3900,Left_cr1.jpg,right_cr.jpg,block3
77,13,1,TrialBloc3,,19,Images/trumpet.jpg,1,Images/knife03.jpg,1,2,Plus gros?,Bigger?,1,6,6500,4400,Left_cr1.jpg,right_cr.jpg,block3
78,14,1,TrialBloc3,,14,Images/horseshoecrab.jpg,14,Images/rocklobster.jpg,1,1,Plus gros?,Bigger?,1,2,6000,4300,Left_cr1.jpg,right_cr.jpg,block3
