trial,ID,Weight,Procedure,Nested,cat1,pic1,cat2,pic2,big_cans,cat_cans,question_french,question_english,cans,condition,duration_question,duration_fixation,left,right,type
97,1,1,TrialBloc4,,1,Images/winecooler.jpg,21,Images/revolver.jpg,1,2,Catégorie?,Category?,2,8,3900,5600,Left_cr1.jpg,right_cr.jpg,block4
98,2,1,TrialBloc4,,19,Images/cornet.jpg,19,Images/electricdrumset.jpg,2,1,Catégorie?,Category?,1,4,3100,4400,Left_cr1.jpg,right_cr.jpg,block4
99,3,1,TrialBloc4,,18,Images/koala.jpg,18,Images/antelope.jpg,2,1,Catégorie?,Category?,1,4,6900,4900,Left_cr1.jpg,right_cr.jpg,block4
100,4,1,TrialBloc4,,2,Images/microphone01.jpg,4,Images/snowpeas01.jpg,1,2,Catégorie?,Category?,2,8,4900,7900,Left_cr1.jpg,right_cr.jpg,block4
101,5,1,TrialBloc4,,3,Images/tank.jpg,17,Images/butterfly.JPG,1,2,Catégorie?,Category?,2,8,7700,3500,Left_cr1.jpg,right_cr.jpg,block4
102,6,1,TrialBloc4,,1,Images/beermug01a.jpg,1,Images/pitcher02b.jpg,2,1,Catégorie?,Category?,1,4,5300,3100,Left_cr1.jpg,right_cr.jpg,block4
103,7,1,TrialBloc4,,4,Images/apple07.jpg,3,Images/number3.jpg,1,2,Catégorie?,Category?,2,8,6400,6500,Left_cr1.jpg,right_cr.jpg,block4
104,8,1,TrialBloc4,,21,Images/nunchaku.jpg,18,Images/crocodile.jpg,2,2,Catégorie?,Category?,2,8,6200,5300,Left_cr1.jpg,right_cr.jpg,block4
105,9,1,TrialBloc4,,6,Images/clipboard.jpg,6,Images/eraser.jpg,1,1,Plus gros?,Bigger?,1,2,6300,5400,Left_cr1.jpg,right_cr.jpg,block4
106,10,1,TrialBloc4,,18,Images/nyala.jpg,18,Images/bat.jpg,1,1,Plus gros?,Bigger?,1,2,4400,3600,Left_cr1.jpg,right_cr.jpg,block4
107,11,1,TrialBloc4,,6,Images/highlighter02b.jpg,6,Images/book01b.jpg,2,1,Plus gros?,Bigger?,2,2,3600,5900,Left_cr1.jpg,right_cr.jpg,block4
